,Options(calls=,contractSymbol,lastTradeDate,Last Sell Time,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,0,O210219C00035000,2021-01-08,16:10:58,35.0,24.30,25.40,28.60,0.000000,0.000000,1.0,1,1.822267,True,REGULAR,USD
1,1,O210219C00042500,2021-01-19,05:04:37,42.5,15.67,16.50,21.50,0.000000,0.000000,NaN,2,1.086919,True,REGULAR,USD
2,2,O210219C00047500,2021-01-28,20:11:58,47.5,14.15,13.20,14.00,1.299999,10.116725,3.0,108,0.601566,True,REGULAR,USD
3,3,O210219C00050000,2021-01-28,16:05:24,50.0,11.40,8.50,12.70,0.349999,3.167415,11.0,19,1.037602,True,REGULAR,USD
4,4,O210219C00052500,2021-01-26,18:42:42,52.5,8.34,6.50,11.00,0.000000,0.000000,2.0,96,1.053472,True,REGULAR,USD
5,5,O210219C00055000,2021-01-28,19:52:26,55.0,6.34,5.90,6.20,0.620000,10.839168,29.0,354,0.337897,True,REGULAR,USD
6,6,O210219C00057500,2021-01-28,18:05:17,57.5,4.02,3.50,4.00,0.720000,21.818184,12.0,503,0.304206,True,REGULAR,USD
7,7,O210219C00060000,2021-01-28,20:59:12,60.0,1.92,1.80,2.05,0.120000,6.666667,535.0,2525,0.258064,True,REGULAR,USD
8,8,O210219C00062500,2021-01-28,20:52:49,62.5,0.82,0.55,0.85,0.080000,10.810808,333.0,3391,0.248054,False,REGULAR,USD
9,9,O210219C00065000,2021-01-28,20:54:25,65.0,0.25,0.15,0.30,0.020000,8.695650,411.0,1850,0.251961,False,REGULAR,USD
10,10,O210219C00067500,2021-01-28,18:01:38,67.5,0.10,0.05,0.10,0.040000,66.666670,77.0,695,0.262703,False,REGULAR,USD
11,11,O210219C00070000,2021-01-27,17:21:56,70.0,0.06,0.00,0.05,0.000000,0.000000,27.0,111,0.294929,False,REGULAR,USD
12,12,O210219C00075000,2020-12-29,15:19:25,75.0,0.08,0.00,0.05,0.000000,0.000000,1.0,13,0.410162,False,REGULAR,USD
13,13,O210219C00080000,2020-12-18,17:59:23,80.0,0.05,0.00,0.15,0.000000,0.000000,2.0,2,0.546880,False,REGULAR,USD
14,14,O210219C00090000,2021-01-19,05:04:37,90.0,0.05,NaN,5.00,0.000000,0.000000,NaN,2,2.125981,False,REGULAR,"USD,"
15,puts=,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,0
16,O210219P00035000,2021-01-27,16:41:07,35.0,0.03,0.00,0.85,-0.07,-70.000000,2.0,5,1.457034,False,REGULAR,USD,1
17,O210219P00040000,2021-01-27,16:45:23,40.0,0.03,0.00,1.05,0.00,0.000000,1.0,5,1.216801,False,REGULAR,USD,2
18,O210219P00045000,2021-01-12,19:32:27,45.0,0.06,0.00,0.90,0.00,0.000000,4.0,8,0.901368,False,REGULAR,USD,3
19,O210219P00047500,2021-01-25,15:36:03,47.5,0.05,0.00,0.05,0.00,0.000000,3.0,45,0.498052,False,REGULAR,USD,4
20,O210219P00050000,2021-01-28,20:59:29,50.0,0.02,0.00,0.10,-0.03,-60.000004,17.0,837,0.460943,False,REGULAR,USD,5
21,O210219P00052500,2021-01-28,15:35:08,52.5,0.07,0.10,0.20,-0.08,-53.333336,27.0,821,0.423834,False,REGULAR,USD,6
22,O210219P00055000,2021-01-28,20:32:56,55.0,0.27,0.25,0.30,-0.06,-18.181818,90.0,2313,0.356452,False,REGULAR,USD,7
23,O210219P00057500,2021-01-28,20:59:29,57.5,0.52,0.40,0.55,-0.13,-20.000000,204.0,2856,0.304206,False,REGULAR,USD,8
24,O210219P00060000,2021-01-28,20:32:17,60.0,1.15,1.05,1.25,-0.40,-25.806450,239.0,1150,0.284187,False,REGULAR,USD,9
25,O210219P00062500,2021-01-28,20:11:58,62.5,2.20,2.35,2.55,-0.77,-25.925926,19.0,262,0.274910,True,REGULAR,USD,10
26,O210219P00065000,2021-01-28,18:07:11,65.0,4.30,4.30,4.60,-0.46,-9.663866,4.0,12,0.314460,True,REGULAR,USD,11
27,O210219P00067500,2021-01-22,14:44:40,67.5,8.40,6.60,7.20,0.00,0.000000,1.0,1,0.442388,True,REGULAR,USD,12
